count,day,month,year
6166,21,5,2018
6026,14,6,2018
10397,7,7,2018
6864,22,9,2018
7917,15,10,2018
6459,24,10,2018
4399,26,10,2018
11952,1,11,2018
6668,8,11,2018
5867,17,11,2018
5712,19,11,2018
11042,1,12,2018
9949,12,12,2018
5840,8,1,2019
8070,15,1,2019
7567,1,2,2019
3963,8,2,2019
5347,30,3,2019
3937,5,4,2019
5535,16,4,2019
5291,23,4,2019
6232,9,5,2019
6562,16,5,2019
8190,25,5,2019
6576,2,6,2019
7396,9,6,2019
6417,13,7,2019
6365,6,8,2019
7475,17,8,2019
6556,10,9,2019
4279,3,10,2019
6133,30,10,2019
5889,23,11,2019
6976,25,11,2019
5719,16,12,2019
5933,18,12,2019
3167,27,12,2019
4833,30,1,2020
5950,5,2,2020
5534,16,2,2020
5135,23,2,2020
5404,9,3,2020
5779,16,3,2020
6489,25,3,2020
3476,27,3,2020
5464,2,4,2020
7240,20,4,2020
6044,17,6,2020
6339,10,7,2020
5620,3,8,2020
5561,30,8,2020
6256,23,9,2020
5803,25,9,2020
4055,16,10,2020
5471,18,10,2020
5921,27,10,2020
5273,9,11,2020
10780,11,11,2020
6509,20,11,2020
4026,4,12,2020
4986,13,12,2020
4919,28,1,2021
5998,21,2,2021
5350,14,3,2021
5408,7,4,2021
5750,27,5,2021
4902,29,5,2021
3588,4,6,2021
7593,20,6,2021
5900,22,6,2021
6220,13,7,2021
9395,15,7,2021
7074,24,7,2021
10056,8,8,2021
4942,5,10,2021
7202,25,11,2021
3741,29,12,2021
4731,24,1,2022
5587,17,2,2022
8816,3,3,2022
7904,10,3,2022
4247,3,4,2022
8119,25,5,2022
5858,18,6,2022
6078,27,6,2022
6421,4,7,2022
5343,11,7,2022
8847,20,7,2022
6706,4,8,2022
18129,1,10,2022
5723,12,10,2022
4154,28,10,2022
6588,5,11,2022
5292,21,11,2022
5480,25,12,2022
5165,3,1,2023
7098,10,1,2023
3799,3,2,2023
5642,25,3,2023
5888,18,4,2023
6166,27,4,2023
5276,4,5,2023
5951,11,5,2023
6514,20,5,2023
5092,4,6,2023
5835,8,7,2023
9457,1,8,2023
6242,12,8,2023
6524,28,8,2023
6324,5,9,2023
5752,21,9,2023
6302,25,10,2023
5693,9,11,2023
5142,18,11,2023
4853,29,11,2023
5316,2,12,2023
4218,11,12,2023
4717,13,12,2023
6847,25,1,2024
4928,11,2,2024
5123,18,2,2024
4829,27,2,2024
4933,4,3,2024
3540,11,3,2024
5900,20,3,2024
9249,4,4,2024
5643,17,4,2018
6038,6,3,2018
5539,24,3,2018
3611,22,12,2023
2862,29,12,2023
4992,13,2,2018
5354,26,4,2018
9806,5,5,2018
5800,8,5,2018
6437,22,5,2018
7521,12,6,2018
7403,26,6,2018
6636,8,7,2018
7141,22,7,2018
6650,4,8,2018
7351,12,8,2018
7629,26,8,2018
6324,11,9,2018
8751,25,9,2018
